2265	0
2270	0.42
2275	3.28
2280	15.31
2285	38.4
2290	72.66
2295	119.57
2300	183.87
2305	270.31
2310	380.05
2315	523.15
2320	706.76
2325	933.71
2330	1205.78
2335	1523.18
2340	1889.38
2345	2311.79
2350	2805.44
2355	3382.13
2360	4038.39
2365	4783.15
2370	5622.09
2375	6544.7
2380	7552.07
2385	8635.81
2390	9790.43
2395	11034.47
2400	12382.2
2405	13823.62
2410	15349.71
2415	16963.86
2420	18673.05
2425	20484.48
2430	22402.29
2435	24427.03
2440	26561.05
2445	28810.27
2450	31181.12
